CaseID,StageNo,StageName,Cleared
C1001,10,KYC Received,TRUE
C1001,20,KYC Verified,TRUE
C1001,30,Risk Review,TRUE
C1001,40,Account Approval,FALSE
C1001,50,Account Opened,FALSE
C1002,10,KYC Received,TRUE
C1002,20,KYC Verified,FALSE
C1002,30,Risk Review,FALSE
C1002,40,Account Approval,FALSE
C1003,10,KYC Received,TRUE
C1003,20,KYC Verified,TRUE
C1003,30,Risk Review,TRUE
C1003,40,Account Approval,TRUE
C1003,50,Account Opened,TRUE
C1004,10,KYC Received,FALSE
C1004,20,KYC Verified,FALSE
C1004,30,Risk Review,FALSE
C1005,10,KYC Received,TRUE
C1005,20,KYC Verified,TRUE
C1005,30,Risk Review,FALSE
C1005,40,Account Approval,TRUE
C1005,50,Account Opened,FALSE
C1006,10,KYC Received,TRUE
C1006,20,KYC Verified,TRUE
C1006,30,Risk Review,FALSE
C1006,40,Account Approval,FALSE
