sale_date,day_of_year,employee_shifts,units_sold,revenue,month_of_year
2017-01-01,1,3,241,2892,1
2017-01-02,2,3,205,2460,1
2017-01-03,3,3,200,2400,1
2017-01-04,4,3,458,5496,1
2017-01-05,5,3,339,4068,1
2017-01-06,6,3,427,5124,1
2017-01-07,7,3,168,2016,1
2017-01-08,8,3,223,2676,1
2017-01-09,9,3,267,3204,1
2017-01-10,10,3,228,2736,1
2017-01-11,11,3,374,4488,1
2017-01-12,12,3,189,2268,1
2017-01-13,13,3,238,2856,1
2017-01-14,14,3,466,5592,1
2017-01-15,15,3,133,1596,1
2017-01-16,16,3,150,1800,1
2017-01-17,17,3,277,3324,1
2017-01-18,18,3,144,1728,1
2017-01-19,19,3,169,2028,1
2017-01-20,20,3,355,4260,1
2017-01-21,21,3,339,4068,1
2017-01-22,22,3,342,4104,1
2017-01-23,23,3,329,3948,1
2017-01-24,24,3,276,3312,1
2017-01-25,25,3,238,2856,1
2017-01-26,26,3,205,2460,1
2017-01-27,27,3,192,2304,1
2017-01-28,28,3,225,2700,1
2017-01-29,29,3,300,3600,1
2017-01-30,30,3,348,4176,1
2017-01-31,31,3,428,5136,1
2017-02-01,32,3,123,1476,2
2017-02-02,33,3,117,1404,2
2017-02-03,34,3,112,1344,2
2017-02-04,35,4,370,4440,2
2017-02-05,36,4,466,5592,2
2017-02-06,37,4,577,6924,2
2017-02-07,38,4,571,6852,2
2017-02-08,39,4,586,7032,2
2017-02-09,40,4,300,3600,2
2017-02-10,41,4,495,5940,2
2017-02-11,42,4,595,7140,2
2017-02-12,43,4,311,3732,2
2017-02-13,44,4,687,8244,2
2017-02-14,45,4,527,6324,2
2017-02-15,46,4,458,5496,2
2017-02-16,47,4,507,6084,2
2017-02-17,48,4,414,4968,2
2017-02-18,49,4,700,8400,2
2017-02-19,50,4,654,7848,2
2017-02-20,51,4,681,8172,2
2017-02-21,52,4,549,6588,2
2017-02-22,53,4,374,4488,2
2017-02-23,54,4,410,4920,2
2017-02-24,55,4,422,5064,2
2017-02-25,56,4,382,4584,2
2017-02-26,57,4,664,7968,2
2017-02-27,58,4,566,6792,2
2017-02-28,59,4,336,4032,2
2017-03-01,60,4,475,5700,3
2017-03-02,61,4,486,5832,3
2017-03-03,62,4,393,4716,3
2017-03-04,63,4,575,6900,3
2017-03-05,64,4,662,7944,3
2017-03-06,65,4,606,7272,3
2017-03-07,66,4,652,7824,3
2017-03-08,67,4,627,7524,3
2017-03-09,68,4,672,8064,3
2017-03-10,69,4,495,5940,3
2017-03-11,70,4,401,4812,3
2017-03-12,71,4,471,5652,3
2017-03-13,72,4,341,4092,3
2017-03-14,73,4,512,6144,3
2017-03-15,74,4,534,6408,3
2017-03-16,75,4,585,7020,3
2017-03-17,76,4,321,3852,3
2017-03-18,77,4,331,3972,3
2017-03-19,78,4,353,4236,3
2017-03-20,79,4,665,7980,3
2017-03-21,80,4,403,4836,3
2017-03-22,81,4,542,6504,3
2017-03-23,82,4,677,8124,3
2017-03-24,83,4,627,7524,3
2017-03-25,84,4,662,7944,3
2017-03-26,85,4,687,8244,3
2017-03-27,86,4,451,5412,3
2017-03-28,87,4,555,6660,3
2017-03-29,88,4,536,6432,3
2017-03-30,89,4,524,6288,3
2017-03-31,90,4,313,3756,3
2017-04-01,91,4,686,8232,4
2017-04-02,92,4,393,4716,4
2017-04-03,93,4,373,4476,4
2017-04-04,94,4,590,7080,4
2017-04-05,95,4,358,4296,4
2017-04-06,96,4,561,6732,4
2017-04-07,97,4,656,7872,4
2017-04-08,98,4,592,7104,4
2017-04-09,99,4,394,4728,4
2017-04-10,100,4,336,4032,4
2017-04-11,101,4,515,6180,4
2017-04-12,102,4,650,7800,4
2017-04-13,103,4,333,3996,4
2017-04-14,104,4,488,5856,4
2017-04-15,105,4,403,4836,4
2017-04-16,106,4,612,7344,4
2017-04-17,107,4,636,7632,4
2017-04-18,108,4,388,4656,4
2017-04-19,109,4,419,5028,4
2017-04-20,110,4,445,5340,4
2017-04-21,111,4,416,4992,4
2017-04-22,112,4,450,5400,4
2017-04-23,113,4,681,8172,4
2017-04-24,114,4,595,7140,4
2017-04-25,115,4,695,8340,4
2017-04-26,116,4,695,8340,4
2017-04-27,117,4,471,5652,4
2017-04-28,118,4,582,6984,4
2017-04-29,119,4,356,4272,4
2017-04-30,120,4,325,3900,4
2017-05-01,121,4,517,6204,5
2017-05-02,122,4,472,5664,5
2017-05-03,123,4,510,6120,5
2017-05-04,124,4,685,8220,5
2017-05-05,125,4,302,3624,5
2017-05-06,126,4,384,4608,5
2017-05-07,127,4,504,6048,5
2017-05-08,128,5,513,6156,5
2017-05-09,129,5,313,3756,5
2017-05-10,130,5,307,3684,5
2017-05-11,131,5,466,5592,5
2017-05-12,132,5,486,5832,5
2017-05-13,133,5,569,6828,5
2017-05-14,134,5,338,4056,5
2017-05-15,135,5,327,3924,5
2017-05-16,136,5,752,9024,5
2017-05-17,137,5,761,9132,5
2017-05-18,138,5,765,9180,5
2017-05-19,139,5,534,6408,5
2017-05-20,140,5,671,8052,5
2017-05-21,141,5,493,5916,5
